         5027 function calls (4238 primitive calls) in 0.005 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.001    0.000 default_lexer.py:6(get_default_lexer)
       89    0.000    0.000    0.001    0.000 lexer.py:144(_make_number)
      437    0.000    0.000    0.000    0.000 lexer.py:70(_next)
   244/42    0.000    0.000    0.001    0.000 parser.py:105(_binary_operator)
  184/166    0.000    0.000    0.001    0.000 lexer.py:83(generate_tokens)
    92/83    0.000    0.000    0.001    0.000 parser.py:60(_factor)
   336/42    0.000    0.000    0.001    0.000 parser.py:116(_term)
       42    0.000    0.000    0.005    0.000 profiling.py:8(calculator)
   291/42    0.000    0.000    0.001    0.000 parser.py:120(<lambda>)
       43    0.000    0.000    0.000    0.000 parser.py:28(__init__)
      184    0.000    0.000    0.000    0.000 parser.py:51(_next)
      252    0.000    0.000    0.000    0.000 expression.py:9(__init__)
      835    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       43    0.000    0.000    0.000    0.000 lexer.py:19(__init__)
      126    0.000    0.000    0.000    0.000 expression.py:80(__init__)
       89    0.000    0.000    0.000    0.000 number_node.py:10(__init__)
      168    0.000    0.000    0.000    0.000 lexer.py:31(add_operator)
      168    0.000    0.000    0.000    0.000 expression.py:59(__init__)
    47/42    0.000    0.000    0.000    0.000 binary_operator_node.py:26(evaluate)
      141    0.000    0.000    0.000    0.000 token.py:20(__init__)
      252    0.000    0.000    0.000    0.000 lexer.py:43(add_function)
       47    0.000    0.000    0.000    0.000 binary_operator_node.py:10(__init__)
    45/42    0.000    0.000    0.002    0.000 parser.py:122(_expr)
      137    0.000    0.000    0.000    0.000 node.py:9(__init__)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      9/1    0.000    0.000    0.000    0.000 copy.py:132(deepcopy)
        1    0.000    0.000    0.000    0.000 lexer.py:179(_make_function)
       47    0.000    0.000    0.000    0.000 expression.py:67(evaluate)
    43/42    0.000    0.000    0.002    0.000 parser.py:125(parse)
       42    0.000    0.000    0.000    0.000 lexer.py:63(get_operators)
      168    0.000    0.000    0.000    0.000 parser.py:43(<lambda>)
       89    0.000    0.000    0.000    0.000 number_node.py:20(evaluate)
       30    0.000    0.000    0.000    0.000 math42.py:6(addition)
        2    0.000    0.000    0.000    0.000 function_token.py:22(arguments)
       52    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 copy.py:268(_reconstruct)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 lexer.py:75(_tokenize_sub_text)
